thread_id,url,title,question,answer,all_answers,tags,created_at,updated_at
,,JUnit testing,"Hello, would the provided mushroom of doom tests be considered tests of core game state? Or would it be required to instantiate the game court class in order to test core game state in this case? My game is also timer-based so I have a model class similar to the game court class","No, please write your own tests.","No, please write your own tests.",General,,
,,URGENT HELP,"Help! My game compiles, and I am able to run everything, it works. But when I upload it, even if I upload the whole of hw 9 it doesnt compile in gradescope and I don't know what to do. Can I email cis 1200 a google drive file if possible, I believe I read that somewhere.",Can you attach a photo of the errors?,Can you attach a photo of the errors?,General,,
,,Where is Chem 102 for Final exam,Is this the Chem building for the final exam? I don't take chem and just want to double check.,Yup,Yup,General,,
,,Format & Stylechecker not working?,"My stylechecker isn't working in intellij and neither is the format. I'm having to go through and manually format all my code. Could there be like a common reason format isn't working / a file I need to bring back? (I deleted the mushroom and tic tac toe, but didnt think it would get rid of format).","Is it not stylechecking at all or is it just not fixing the errors? If it's the latter then iirc some errors the style checker doesn't resolve and you will just need to manually fix. If it's not stylechecking anything, then I recommend going through the project setup steps again to see if you may be missing anything or accidentally deleted something else (carefully, don't delete your code/save your important files in a zip file or somewhere else before proceeding because style really isn't very many points).","Is it not stylechecking at all or is it just not fixing the errors? If it's the latter then iirc some errors the style checker doesn't resolve and you will just need to manually fix. If it's not stylechecking anything, then I recommend going through the project setup steps again to see if you may be missing anything or accidentally deleted something else (carefully, don't delete your code/save your important files in a zip file or somewhere else before proceeding because style really isn't very many points).",Homework,,
,,getInstanceOf() vs getClass(),"What is the difference? I checked lecture slides &amp; recordings , but couldn't discern what the difference is as they both effectively look at the current dynamic class of a variable.Is it used when downcasting is not the optimal solution?","instanceOf (I think that's what you're referring to) checks if the object is an instance of any object which it may inherit from/is in its inheritance tree, thus everything is an InstanceOf an Object. However, getClass just returns the dynamic class of the object. InstanceOf generally isn't preferable to use because it somewhat negates the benefits of polymorphism/inheritance. getClass is used primarily in cases like .equals where you must deal with the fact that to override you must write .equals so that it takes in an object, so you need to check to make sure it is the same class.","instanceOf (I think that's what you're referring to) checks if the object is an instance of any object which it may inherit from/is in its inheritance tree, thus everything is an InstanceOf an Object. However, getClass just returns the dynamic class of the object. InstanceOf generally isn't preferable to use because it somewhat negates the benefits of polymorphism/inheritance. getClass is used primarily in cases like .equals where you must deal with the fact that to override you must write .equals so that it takes in an object, so you need to check to make sure it is the same class.",General,,
,,Submission with Zip,"Hi, the submission guidelines for codio says:These files should be organized similar to above (with a src and test directory) The easiest option is to use the Zip for Submission menu item in Codio. If you do this, you should delete the folders for the provided game code that you did not use (i.e. if you modified mushroom of doom, you should delete tictacttoe folders from both main and test, and vice-versa). You can directly upload the zip produced by Codio into Gradescope.For context, I coded mineSweeper and I used the tictactoe template, but I have a separate file and tests made for minesweeper.--&gt; Does this mean that I only need to delete mushroomofdoom code from my zubmission? Am I required to delete the code and tests for tictactoe too?","Hi Stella.I just checked Gradescope and it looks like you were able to submit successfully last night.So you should be all set as far as HW09 is concerned, but please let us know if you have any other questions.","Hi Stella.I just checked Gradescope and it looks like you were able to submit successfully last night.So you should be all set as far as HW09 is concerned, but please let us know if you have any other questions.",General,,
,,HW,I have started doing the game in a new file without downloading the cis1200 file. Now I am afraid I will have troubles with ssubmitting. What should I do?,"Sorry for the late reply, but you should be able to just move your files over to the 1200 project file and make sure the stylechecker and test cases match accordingly.","Sorry for the late reply, but you should be able to just move your files over to the 1200 project file and make sure the stylechecker and test cases match accordingly.",Homework,,
,,Unexpected Error For The Test Cases,I keep getting this error message when I try to submit and I am unsure as to why? Is anyone able to help?,It seems like you're using JUnit 4 instead of JUnit 5. We use JUnit 5 for all the other homework’s so please use that import and adjust your assertions if needed.,It seems like you're using JUnit 4 instead of JUnit 5. We use JUnit 5 for all the other homework’s so please use that import and adjust your assertions if needed.,General,,
,,"25 fa midterm 1 2.d, 2.e","For this question, is d ill-typed because the parameter of the all method takes in 'a list when it's supposed to take in 'a bag? For 2.e, is it ill-typed since this code is outside the module that implements this interface, so we're not supposed to assume that remove 1 empty returns a list?","for d, .all is not accessible outside of the ULBag implementation because it's not defined in the interface, so trying to call it makes it ill typedfor e, yes, remove 1 empty returns a bag, and you do not know the underlying implementation details outside of the actual implementation file","for d, .all is not accessible outside of the ULBag implementation because it's not defined in the interface, so trying to call it makes it ill typedfor e, yes, remove 1 empty returns a bag, and you do not know the underlying implementation details outside of the actual implementation file",General,,
,,23 fall 3a,I thought simple inheritance was about “extends” and inheriting code. Why is it Allan and ComputerScienceBarbie (which both implement interfaces) that show simple inheritance and not JavaBarbie or OcamlBarbie?,#917,#917,General,,
,,Additional Office Hours,"Hi all! Congrats on finishing your game!Yesterday (12/8) was the last official day of office hours, but some TAs may host additional office hours.Here is a running list of office hours. TAs will add their name to it if they choose to host additional OH:Tuesday, 12/9Wednesday, 12/10Na: 8:30-10:30 AM (Virtual OHQ)Swap: 10:30am -12pm (Levine 264)Thursday 12/11Hannah and Anjali: 12:30-2:00 PM (Huntsman G51)Tapiwa: 2:00-4:00 PM (Virtual OHQ)Good luck with finals!",,,General,,
,,Tree Recursion,"Is there an intuitive difference between the three. ""In-Order"" makes sense because if we're sorting an int tree, then the values at the numbered positions will correspond to the chronological order of the values.But I can't really understand pre-order or post-order intuitively? I have a hard time tracing the BST based on code alone, so would help if anybody has any 'tricks' or better explanations on this end.","Knowing the specific terminology really isn't the most significant, rather just reading the code and recognizing the order and whether or not each branch gets evaluated.However, the easiest way for me to remember this is pre, in, and post represent the position where the root is evaluated, the the remaining two are left and right (with left always being first). So pre-order is root left right, in-order is left root right, post-order is left right root.","Knowing the specific terminology really isn't the most significant, rather just reading the code and recognizing the order and whether or not each branch gets evaluated.However, the easiest way for me to remember this is pre, in, and post represent the position where the root is evaluated, the the remaining two are left and right (with left always being first). So pre-order is root left right, in-order is left root right, post-order is left right root.",General,,
,,Why don't we declare Runtime Exceptions and it's subtypes?,"Title -- I rewatched the lectures and couldn't really discern why we differentiate b/w declared and undeclared exceptions. This question stems from the fact that I understand what to do, but not why we are doing it. Thank you!","If every possible exception was declared (like RuntimeExceptions such as NullPointerException), every method that used something like an array would need to throw or try catch that exception because every array can throw it. This would make the code have a huge volume of try-catching and exception handling that isn't very helpful or necessary, especially because in a lot of cases runtime exceptions aren't things you want to happen at all so the code shouldn't continue, it should just stop. That's what the slide is referring to by lighter weight and easier to refactor code, it's much less dense code and classes/functions can be built much more easily.","If every possible exception was declared (like RuntimeExceptions such as NullPointerException), every method that used something like an array would need to throw or try catch that exception because every array can throw it. This would make the code have a huge volume of try-catching and exception handling that isn't very helpful or necessary, especially because in a lot of cases runtime exceptions aren't things you want to happen at all so the code shouldn't continue, it should just stop. That's what the slide is referring to by lighter weight and easier to refactor code, it's much less dense code and classes/functions can be built much more easily.

---

To add on, why would you want to catch and handle a NullPointerException? That would be very bad!! If your code is throwing a NullPointerException, that probably means you should stop running the program and fix it. Some exceptions are helpful when thrown! :)",General,,
,,Inner classes,"Nested inner classes can access the private fields/methods of their outer class, but can outer classes access the private fields/methods of their nested inner classes?","Yes, outer and inner classes have access to each other's private methods and fields.","Yes, outer and inner classes have access to each other's private methods and fields.",General,,
,,2023 fall final question,"Hello! I'm a little confused why this is false. If two objects are reference equality, are they not the same object therefore equal by logic? Thank you!","We can define the equals method to return whatever boolean value we want. Thus, we can define equals to always return false, which would make the above statement false.","We can define the equals method to return whatever boolean value we want. Thus, we can define equals to always return false, which would make the above statement false.",Exams,,
,,recitation 12 worksheet solutions,I looked in Google Drive but couldn't find the solutions to the recitation 12 worksheet. Has it been uploaded?Thanks,,,General,,
,,22 fall 4a,How is line 89 an example of subtype polymorphism?,"LinkedList is a subtype of List, so that declaration involves subtype polymorphism since a subtype was provided as the dynamic type for the static type of an object.","LinkedList is a subtype of List, so that declaration involves subtype polymorphism since a subtype was provided as the dynamic type for the static type of an object.",General,,
,,24fa final exam question 8.3,"on the 2024 final fall, on question 8.3 where it asks what happens when you get rid of the repaint function in cookiepanel, the answer key says that the internal clickcount will update but depending on other various factors swing makes internally, the counter display may or may not change. How is this a logical answer as the code for updating the counter gui is in paintcomponent so without it, based on the given code, the gui should stay in the initial state and not update while the internal state updates (and this isnt even one of the answer choices).","It's not saying you delete the repaint function, you just delete the call to repaint within the listener, so the paintComponent function is still there. Therefore, if the cookie panel is within a larger panel and repaint is called within the overall frame or a container of the cookie panel, then it will travel down to the cookie panel and call paintComponent on it as well, thus updating the cookie display. However, this isn't a guarantee that the cookie panel is within this larger group, thus other interactions/factors matter in whether or not it gets displayed.","It's not saying you delete the repaint function, you just delete the call to repaint within the listener, so the paintComponent function is still there. Therefore, if the cookie panel is within a larger panel and repaint is called within the overall frame or a container of the cookie panel, then it will travel down to the cookie panel and call paintComponent on it as well, thus updating the cookie display. However, this isn't a guarantee that the cookie panel is within this larger group, thus other interactions/factors matter in whether or not it gets displayed.",Exams,,
,,Simple Inheritance Question,"I'm wondering why JavaBarbie and OCamlBarbie are not examples of simple inheritance. They both extend the superclass ComputerScienceBarbie. So is there only a particular type of inheritance that counts as simple inheritance? If so, what is the definition? Thank you so much!","Simple inheritance is when child classes only add new methods. However, JavaBarbie and OCamlBarbie override the speak method, so they aren't examples of simple inheritance.","Simple inheritance is when child classes only add new methods. However, JavaBarbie and OCamlBarbie override the speak method, so they aren't examples of simple inheritance.",Exams,,
,,"Methods for Lists, Sets, Maps","Hey,On the exam, if a question asks us to work with a LinkedList for example, will the required syntax for add, get, set, remove, etc. that are needed be included in the Appendix?Or are we expected to memorize these?Thanks!","Usually, that is provided in the appendix. Can’t make any promises. That’s all I will say about appendices (they are part of the exam). For more information, see the course website.","Usually, that is provided in the appendix. Can’t make any promises. That’s all I will say about appendices (they are part of the exam). For more information, see the course website.",General,,
,,ocaml structural and reference equality,24fa: in ocaml if s == t is true then is s=t guaranteed to be true.the answer key says false but shouldnt it be true as if two variables point to the same reference on the heap then shouldnt they be structurally equal.,"Adding on, if you have a record of functions referred to as s and t, s == t will be true since they point to the same record but not s = t because structural equality between functions isn't defined/doesn't work.","It’s because if you use = to compare two recursive data structures, it could loop forever (think about comparing two cyclic queues). It could either hang or cause a stack overflow.

---

Adding on, if you have a record of functions referred to as s and t, s == t will be true since they point to the same record but not s = t because structural equality between functions isn't defined/doesn't work.",General,,
,,Review Session Recording Final,Is there a recording for the final review session? Tnx a lot,Under class recordings,Under class recordings,General,,
,,24sp Q2C,"For this year's final, are we expected to know the behavior of == on objects with different dynamic classes?",It can be tested,It can be tested,General,,
,,Student Charger from 12/9 Review Session,If you let a TA borrow your charger during the Dec 9th final review session please email me at [REDACTED_EMAIL],,,General,,
,,Simple Inheritance,I understand that simple inheritance for classes means you aren't overriding previous methods but does that mean that implementing an interface also counts as simple inheritance? What about interfaces extending other interfaces or multiple interfaces? Thanks,"Hi there.Good question!No, simple inheritance is only in the context of inheritance (when a class extends another class).When an interface extends another interface, there's no inheritance just interface extension so it wouldn't count as simple inheritance. Similarly, when a class implements an interface, there's no inheritance there either just interface implementation.Please let us know if you have any other questions.","Hi there.Good question!No, simple inheritance is only in the context of inheritance (when a class extends another class).When an interface extends another interface, there's no inheritance just interface extension so it wouldn't count as simple inheritance. Similarly, when a class implements an interface, there's no inheritance there either just interface implementation.Please let us know if you have any other questions.",General,,
,,rec12 ws ans,is it possible to get the answerkey to the recitation 12 worksheet?,,,General,,
,,hashing,do we need to know hashing?,It can be tested,It can be tested,General,,
,,Where is the final ?,There are two locations on Path.,– Chem 102 Last Names A – L – Fagin Auditorium Last Names M – Z,– Chem 102 Last Names A – L – Fagin Auditorium Last Names M – Z,Exams,,
,,Tail Recursion,"Why isn't this tail recursive from this semester's fall 25 midterm 2. My understanding of the concept is that as long as we don't need to ""add something"" or do an operation after we run the recursive call(i.e. 1+ mystery (x-1) is immediately not tail recursive or f mystery (x-1) where f is a function wouldn't be tail recursive). In this case, the lines are blurred, so I was deeply confused.","the recursive calls to mystery(x-2) or mystery(x-3) both first depend on the result of mystery (x-1). Therefore, when the recursive call to mystery (x-1) is made, the stack space can't be cleared, meaning it's not a tail call.Your understanding is pretty accurate, the issue though is that you are doing an operation after the recursive call, either mystery (x-2) or mystery (x-3). I like thinking of it as you do, I also sometimes imagine it as traveling down the recursive calls and whether or not we know the answer of the initial call by the time we reach the base case or not. In this case, you don't, since the result of mystery (x-1) tells you whether or not you do mystery (x-2) or mystery(x-3) (and then you need to wait for that result).","the recursive calls to mystery(x-2) or mystery(x-3) both first depend on the result of mystery (x-1). Therefore, when the recursive call to mystery (x-1) is made, the stack space can't be cleared, meaning it's not a tail call.Your understanding is pretty accurate, the issue though is that you are doing an operation after the recursive call, either mystery (x-2) or mystery (x-3). I like thinking of it as you do, I also sometimes imagine it as traveling down the recursive calls and whether or not we know the answer of the initial call by the time we reach the base case or not. In this case, you don't, since the result of mystery (x-1) tells you whether or not you do mystery (x-2) or mystery(x-3) (and then you need to wait for that result).",Exams,,
,,Fall 25 - Q6.7,Is the ans key not 100% correct in that the next() method needs to have a declaration:next() throws NoSuchElementException(){},"First, when it comes to differentiating those exceptions, best recommendation is when studying to look over the main exceptions you've dealt with and pay attention to whether or not they are checked or unchecked (which mostly means checking if they are RuntimeExceptions or not) (this is another thing your cheat sheet could be helpful for). There really isn't a great way to differentiate unless it is told to you or you memorize them.For the second part, you have the correct premise yes, but you can recover from a FileNotFound exception. Think about when you're uploading something in a program or app, if the file isn't found, the program doesn't crash, it just tells you that your file was not found and asks you to please reupload it. Try-catching that FileNotFoundException enables this. However, if you are running into a null pointer exception, you are pointing to regions of code that you shouldn't and its difficult to predict behavior from that point forward, so the program should crash/stop. You could attempt to try-catch/deal with the runtime exception, but it probably won't go well.","First, when it comes to differentiating those exceptions, best recommendation is when studying to look over the main exceptions you've dealt with and pay attention to whether or not they are checked or unchecked (which mostly means checking if they are RuntimeExceptions or not) (this is another thing your cheat sheet could be helpful for). There really isn't a great way to differentiate unless it is told to you or you memorize them.For the second part, you have the correct premise yes, but you can recover from a FileNotFound exception. Think about when you're uploading something in a program or app, if the file isn't found, the program doesn't crash, it just tells you that your file was not found and asks you to please reupload it. Try-catching that FileNotFoundException enables this. However, if you are running into a null pointer exception, you are pointing to regions of code that you shouldn't and its difficult to predict behavior from that point forward, so the program should crash/stop. You could attempt to try-catch/deal with the runtime exception, but it probably won't go well.

---

It occurs to me that NoSuchElementException is a runtime exception -- is there any advice for differentiating exceptions from checked vs unchecked that's not on the tree?And as a further question, the entire premise of differentiating between declared &amp; undeclared exceptions is that there are certain ones we can 'recover' from w/ try...catch...However, I think I'm not understanding this properly -- the IO Exception or FileNotFound, there's no real way to recover from them, right?",Exams,,
,,Declaring vs. Catching Exceptions -- Mutually Exclusive?,"""Declaring Exceptions forces callers to either deal with the exception or pass responsibility to their callers"" - Lecture NotesIf we try/catch a declared exception within the function, do we still need to declare it?","No, unless you throw another exception in your catch block or somewhere else. If all possible exceptions are try/catched, you shouldn't declare it.","No, unless you throw another exception in your catch block or somewhere else. If all possible exceptions are try/catched, you shouldn't declare it.",General,,
,,transform and fold,If we need to use transform or fold on the exam will the structure be given in the appendix?,I don't think we can guarantee this. My recommendation would be to use your cheat sheet to write it down if that helps with remembering.,I don't think we can guarantee this. My recommendation would be to use your cheat sheet to write it down if that helps with remembering.,Exams,,
,,Swap - Extra OH,"Hi everyone.I'll hold extra OH tomorrow from 10.30am-12pm in my office (Levine 264).Please feel free to stop by, if you have any questions!",,,Exams,,
,,Will the last lecture (advanced java) be part of the final?,Will the last lecture (advanced java) be part of the final?,Possibly!,Possibly!,General,,
,,Signatures in Ocaml,"Hi! I was wondering if for mutable queues, etc. in Ocaml, if we would need to remember all the methods defined on the signature or if we would be given it in the appendix if needed?Thank you!","We can't say. However, you will not have to write OCaml on the exam, so if you were to get a question on mutable queues, it would be multiple choice.","We can't say. However, you will not have to write OCaml on the exam, so if you were to get a question on mutable queues, it would be multiple choice.",Exams,,
,,Reviewing Swing,"I'm still having trouble actually understanding some parts of swing, given the time constraint what would be a recommended approach?","Could you elaborate more on what parts of Swing you're having trouble with? I'd recommend reviewing past exams that feature Java Swing, going to OH, maybe rewatching those lectures if you have the time. Maybe reading the Javadocs of the functions that are confusing could be helpful too? I'd honestly say your best bet is the exam material.","Could you elaborate more on what parts of Swing you're having trouble with? I'd recommend reviewing past exams that feature Java Swing, going to OH, maybe rewatching those lectures if you have the time. Maybe reading the Javadocs of the functions that are confusing could be helpful too? I'd honestly say your best bet is the exam material.",Exams,,
,,Question about what I should be getting,"I'm looking over lecture 15 right now, and I'm not exactly sure what I should be getting out of it.Specifically, the part where it goes over the specific implementations of enq and deq. Is it just to give me a better idea of how the data structure works? Or is there another reason for teaching us specific implementation?","In general, I'd say that the OCaml homework/lectures related to the queues and deques are partly a means to teach the ASM and abstraction and modularity.. so sigs vs structs (interfaces vs classes) and how to design modular and updatable code. The fact that queues allow for mutable data opens up a can of worms in terms of  defining equality. Also, queues and deques are just a good data structures to know and pop up in so many different areas of computer science. Not sure if this answered your question? Perhaps the professors can follow up with their specific learning goals..","In general, I'd say that the OCaml homework/lectures related to the queues and deques are partly a means to teach the ASM and abstraction and modularity.. so sigs vs structs (interfaces vs classes) and how to design modular and updatable code. The fact that queues allow for mutable data opens up a can of worms in terms of  defining equality. Also, queues and deques are just a good data structures to know and pop up in so many different areas of computer science. Not sure if this answered your question? Perhaps the professors can follow up with their specific learning goals..",Exams,,
,,dynamic dispatch,could someone write out the distinction between what would cause the code to not compile vs. compile and throw an exception in a scenario of dynamic dispatch like this?,"The key fact here is that when we downcast, Java doesn't check at compile time if the dynamic type of the variable being downcast (JavaBarbie) is a subtype of the class being downcast to (OCamlBarbie). Thus, something like MattelToy barbie = new JavaBarbie() will compile, since MattelToy is a supertype of OCamlBarbie, so barbie could theoretically be dynamically a subtype of OCamlBarbie. However, it will throw a runtime exception. However, something like MattelToy barbie = new Object() won't compile, since Object isn't a subtype of MattelToy.","The key fact here is that when we downcast, Java doesn't check at compile time if the dynamic type of the variable being downcast (JavaBarbie) is a subtype of the class being downcast to (OCamlBarbie). Thus, something like MattelToy barbie = new JavaBarbie() will compile, since MattelToy is a supertype of OCamlBarbie, so barbie could theoretically be dynamically a subtype of OCamlBarbie. However, it will throw a runtime exception. However, something like MattelToy barbie = new Object() won't compile, since Object isn't a subtype of MattelToy.",General,,
